Panel,Data_Type,Source_Category,Plot_Order,Radius_m,Emission_Composition_Value,Emission_Composition_Percent,Distance_Bin_Left_m,Distance_Bin_Right_m,Distance_Bin_Center_m,Frequency,KDE_X_m,KDE_Density,Spearman_R,Mean_Spatial_Validation_R2,Baseline_R2,Peak_Radius_m,Metric_Name,Metric_Value,Panel_Description,Notes
b,distance_histogram,Ship,1,,,,2200.0,2400.0,2300.0,359438,,,,,,,distance_histogram_frequency,359438.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,2400.0,2600.0,2500.0,383880,,,,,,,distance_histogram_frequency,383880.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,2600.0,2800.0,2700.0,402376,,,,,,,distance_histogram_frequency,402376.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,2800.0,3000.0,2900.0,417351,,,,,,,distance_histogram_frequency,417351.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,3000.0,3200.0,3100.0,424839,,,,,,,distance_histogram_frequency,424839.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,3200.0,3400.0,3300.0,427481,,,,,,,distance_histogram_frequency,427481.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,3400.0,3600.0,3500.0,424485,,,,,,,distance_histogram_frequency,424485.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,3600.0,3800.0,3700.0,409875,,,,,,,distance_histogram_frequency,409875.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,3800.0,4000.0,3900.0,390568,,,,,,,distance_histogram_frequency,390568.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,4000.0,4200.0,4100.0,365880,,,,,,,distance_histogram_frequency,365880.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,4200.0,4400.0,4300.0,304797,,,,,,,distance_histogram_frequency,304797.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,4400.0,4600.0,4500.0,227924,,,,,,,distance_histogram_frequency,227924.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,4600.0,4800.0,4700.0,159456,,,,,,,distance_histogram_frequency,159456.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,4800.0,5000.0,4900.0,103989,,,,,,,distance_histogram_frequency,103989.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,5000.0,5200.0,5100.0,64323,,,,,,,distance_histogram_frequency,64323.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,5200.0,5400.0,5300.0,36338,,,,,,,distance_histogram_frequency,36338.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,5400.0,5600.0,5500.0,18526,,,,,,,distance_histogram_frequency,18526.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,5600.0,5800.0,5700.0,9284,,,,,,,distance_histogram_frequency,9284.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,5800.0,6000.0,5900.0,4469,,,,,,,distance_histogram_frequency,4469.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,6000.0,6200.0,6100.0,1894,,,,,,,distance_histogram_frequency,1894.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,6200.0,6400.0,6300.0,487,,,,,,,distance_histogram_frequency,487.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,6400.0,6600.0,6500.0,4,,,,,,,distance_histogram_frequency,4.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,6600.0,6800.0,6700.0,0,,,,,,,distance_histogram_frequency,0.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,6800.0,7000.0,6900.0,0,,,,,,,distance_histogram_frequency,0.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,7000.0,7200.0,7100.0,0,,,,,,,distance_histogram_frequency,0.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,7200.0,7400.0,7300.0,0,,,,,,,distance_histogram_frequency,0.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,7400.0,7600.0,7500.0,0,,,,,,,distance_histogram_frequency,0.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,7600.0,7800.0,7700.0,0,,,,,,,distance_histogram_frequency,0.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_histogram,Ship,1,,,,7800.0,8000.0,7900.0,0,,,,,,,distance_histogram_frequency,0.0,Binned source-station distance distribution for panel b.,"Histogram bins match original sns.histplot settings: bins=40, binrange=(0, 8000)."
b,distance_kde,Ship,1,,,,,,,,32.43675405159681,1.6515122238512871e-06,,,,,distance_kde_density,1.6515122238512871e-06,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,66.04795915970931,2.9545913850160335e-06,,,,,distance_kde_density,2.9545913850160335e-06,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,99.65916426782181,4.456547818089177e-06,,,,,distance_kde_density,4.456547818089177e-06,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,133.27036937593428,6.050795431841942e-06,,,,,distance_kde_density,6.050795431841942e-06,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,166.88157448404675,7.778105581078305e-06,,,,,distance_kde_density,7.778105581078305e-06,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,200.49277959215922,9.691324156934047e-06,,,,,distance_kde_density,9.691324156934047e-06,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,234.10398470027175,1.1730078347944526e-05,,,,,distance_kde_density,1.1730078347944526e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,267.71518980838425,1.378861234876835e-05,,,,,distance_kde_density,1.378861234876835e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,301.3263949164967,1.5864013048316038e-05,,,,,distance_kde_density,1.5864013048316038e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,334.9376000246092,1.806040434431163e-05,,,,,distance_kde_density,1.806040434431163e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,368.54880513272167,2.0456947635144636e-05,,,,,distance_kde_density,2.0456947635144636e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,402.16001024083414,2.2991766415712745e-05,,,,,distance_kde_density,2.2991766415712745e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,435.7712153489466,2.5500148823091356e-05,,,,,distance_kde_density,2.5500148823091356e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,469.3824204570591,2.7893845579231602e-05,,,,,distance_kde_density,2.7893845579231602e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,502.99362556517156,3.0221873034195813e-05,,,,,distance_kde_density,3.0221873034195813e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,536.604830673284,3.2579601795210975e-05,,,,,distance_kde_density,3.2579601795210975e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,570.2160357813966,3.5026193441442816e-05,,,,,distance_kde_density,3.5026193441442816e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,603.8272408895091,3.747104483412753e-05,,,,,distance_kde_density,3.747104483412753e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,637.4384459976216,3.971016081838689e-05,,,,,distance_kde_density,3.971016081838689e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,671.049651105734,4.1711083406928385e-05,,,,,distance_kde_density,4.1711083406928385e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,704.6608562138465,4.370143720852378e-05,,,,,distance_kde_density,4.370143720852378e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,738.272061321959,4.59172358913402e-05,,,,,distance_kde_density,4.59172358913402e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,771.8832664300714,4.836924430462793e-05,,,,,distance_kde_density,4.836924430462793e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,805.494471538184,5.0912249604366306e-05,,,,,distance_kde_density,5.0912249604366306e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,839.1056766462965,5.35279094800457e-05,,,,,distance_kde_density,5.35279094800457e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,872.716881754409,5.638771087698523e-05,,,,,distance_kde_density,5.638771087698523e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,906.3280868625214,5.961953797100487e-05,,,,,distance_kde_density,5.961953797100487e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,939.9392919706339,6.321422706930281e-05,,,,,distance_kde_density,6.321422706930281e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,973.5504970787464,6.717035631993338e-05,,,,,distance_kde_density,6.717035631993338e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1007.1617021868589,7.151634417847753e-05,,,,,distance_kde_density,7.151634417847753e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1040.7729072949714,7.615036055431914e-05,,,,,distance_kde_density,7.615036055431914e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1074.384112403084,8.08973170673925e-05,,,,,distance_kde_density,8.08973170673925e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1107.9953175111964,8.57493401329036e-05,,,,,distance_kde_density,8.57493401329036e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1141.6065226193089,9.077379139469676e-05,,,,,distance_kde_density,9.077379139469676e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1175.2177277274213,9.595226863023697e-05,,,,,distance_kde_density,9.595226863023697e-05,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1208.8289328355338,0.00010142365970391868,,,,,distance_kde_density,0.00010142365970391868,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1242.4401379436465,0.00010753103137014925,,,,,distance_kde_density,0.00010753103137014925,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1276.051343051759,0.00011437972048054016,,,,,distance_kde_density,0.00011437972048054016,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1309.6625481598714,0.00012168404228444756,,,,,distance_kde_density,0.00012168404228444756,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1343.273753267984,0.0001291113867933879,,,,,distance_kde_density,0.0001291113867933879,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1376.8849583760964,0.00013651339017971368,,,,,distance_kde_density,0.00013651339017971368,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1410.4961634842089,0.00014385386995300497,,,,,distance_kde_density,0.00014385386995300497,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1444.1073685923213,0.00015114375343456464,,,,,distance_kde_density,0.00015114375343456464,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1477.7185737004338,0.00015844163899407266,,,,,distance_kde_density,0.00015844163899407266,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1511.3297788085463,0.00016577006586561063,,,,,distance_kde_density,0.00016577006586561063,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1544.9409839166588,0.0001730230628150323,,,,,distance_kde_density,0.0001730230628150323,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1578.5521890247712,0.00017999849900378744,,,,,distance_kde_density,0.00017999849900378744,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1612.1633941328837,0.0001865337743327574,,,,,distance_kde_density,0.0001865337743327574,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1645.7745992409962,0.0001925705311759297,,,,,distance_kde_density,0.0001925705311759297,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1679.3858043491086,0.00019800755408759565,,,,,distance_kde_density,0.00019800755408759565,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1712.997009457221,0.00020280368673942045,,,,,distance_kde_density,0.00020280368673942045,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1746.6082145653338,0.00020725564467806413,,,,,distance_kde_density,0.00020725564467806413,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1780.2194196734463,0.0002116559333083955,,,,,distance_kde_density,0.0002116559333083955,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1813.8306247815588,0.00021589739300366823,,,,,distance_kde_density,0.00021589739300366823,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1847.4418298896712,0.0002197734700973224,,,,,distance_kde_density,0.0002197734700973224,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1881.0530349977837,0.00022327005555406669,,,,,distance_kde_density,0.00022327005555406669,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1914.664240105896,0.00022652845328549777,,,,,distance_kde_density,0.00022652845328549777,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1948.2754452140086,0.00022978607917703583,,,,,distance_kde_density,0.00022978607917703583,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,1981.8866503221209,0.00023317520106032522,,,,,distance_kde_density,0.00023317520106032522,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2015.4978554302336,0.0002366708605586637,,,,,distance_kde_density,0.0002366708605586637,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2049.109060538346,0.0002403510315634332,,,,,distance_kde_density,0.0002403510315634332,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2082.7202656464583,0.00024438632661409745,,,,,distance_kde_density,0.00024438632661409745,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2116.331470754571,0.0002489071741547276,,,,,distance_kde_density,0.0002489071741547276,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2149.9426758626832,0.00025399795949429614,,,,,distance_kde_density,0.00025399795949429614,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2183.553880970796,0.0002595639020064786,,,,,distance_kde_density,0.0002595639020064786,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2217.165086078908,0.000265257053563954,,,,,distance_kde_density,0.000265257053563954,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2250.776291187021,0.0002706066156074902,,,,,distance_kde_density,0.0002706066156074902,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2284.387496295133,0.00027528486846435386,,,,,distance_kde_density,0.00027528486846435386,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2317.998701403246,0.00027938286715750076,,,,,distance_kde_density,0.00027938286715750076,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2351.609906511358,0.00028319309577419375,,,,,distance_kde_density,0.00028319309577419375,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
b,distance_kde,Ship,1,,,,,,,,2385.221111619471,0.0002866983145772586,,,,,distance_kde_density,0.0002866983145772586,KDE curve coordinates for panel b.,KDE coordinates extracted using seaborn.kdeplot. These data allow panel b to be reproduced without storing row-level distance records.
