Panel,Data_Type,Panel_Description,Station,Cluster,Feature,Metric_Name,Metric_Value,K_Value,Latitude,Longitude,Fold,StationType,X_Value,Y_Value,Regression_R2,Traffic_Line_WKT,Traffic_Volume,Traffic_Line_Width,Notes
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,徐汇华泾,0,Landuse,Scatter_Point,,,31.12295,121.4501,4,市控站,0.24627192094186343,0.13208692546651465,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,杨浦新江湾城,0,Landuse,Scatter_Point,,,31.32146,121.5034,1,市控站,-0.001970010993894711,0.003931757971102012,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,虹口嘉兴,0,Landuse,Scatter_Point,,,31.2666,121.5016,1,市控站,0.3397602106835179,0.36211654257716097,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,金山廊下,0,Landuse,Scatter_Point,,,30.79118,121.138,3,市控站,0.08814256481896532,0.08306358623794974,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,闵行浦江,0,Landuse,Scatter_Point,,,31.0739,121.4996,5,国控站,0.015213752418987592,0.011398471856683079,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,青浦徐泾,0,Landuse,Scatter_Point,,,31.1663,121.2886,4,国控站,0.051254712699602134,0.01810116997456357,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,静安和田中学,0,Landuse,Scatter_Point,,,31.2768,121.451,5,市控站,0.06040559404950574,0.06521774579470796,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,静安延安西路路边站,4,Landuse,Scatter_Point,,,31.222778,121.43988,1,交通站,0.050524355072136706,0.050075512938273725,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,静安监测站,0,Landuse,Scatter_Point,,,31.2261,121.425,2,国控站,0.08424195315065419,0.07069016284232144,0.7809818846888775,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,卢湾师专附小,0,UCP,Scatter_Point,,,31.2036,121.478,1,国控站,-0.045970784346515914,0.03800328327669955,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,奉贤海湾,0,UCP,Scatter_Point,,,30.85805,121.6762,1,市控站,0.11360558263315479,0.10316570056947327,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,宝山庙行,0,UCP,Scatter_Point,,,31.32259,121.4261,2,国控站,0.007362474061833546,0.02062368720739849,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,徐汇华泾,0,UCP,Scatter_Point,,,31.12295,121.4501,4,市控站,0.24627192094186343,0.00994901217837671,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,普陀桃浦,0,UCP,Scatter_Point,,,31.28524,121.3425,4,市控站,0.04900234291460115,0.028672358457658254,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,杨浦监测站,0,UCP,Scatter_Point,,,31.2837,121.5377,2,市控站,0.13836477766588295,0.12437739501480416,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,虹口凉城,0,UCP,Scatter_Point,,,31.3008,121.46671,3,国控站,0.08293819168291872,0.021056568136619158,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,虹口嘉兴,0,UCP,Scatter_Point,,,31.2666,121.5016,1,市控站,0.3397602106835179,0.3220797186756932,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,金山廊下,0,UCP,Scatter_Point,,,30.79118,121.138,3,市控站,0.08814256481896532,0.0957854935722906,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,长宁仙霞,0,UCP,Scatter_Point,,,31.20593,121.3902,4,国控站,0.0003550089324172445,0.0037757153540030064,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,长宁华阳,0,UCP,Scatter_Point,,,31.22328,121.4247,3,市控站,0.01996753504993576,0.034686643387390026,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,闵行江川,0,UCP,Scatter_Point,,,31.0061,121.4118,1,市控站,-0.04233723970122649,0.005549255059054237,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,闵行莘庄,0,UCP,Scatter_Point,,,31.1161,121.3663,2,市控站,-0.12539360130444333,0.008375807434740978,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,青浦夏阳,0,UCP,Scatter_Point,,,31.1561,121.1255,3,市控站,-0.011177332231590675,0.02488041646031336,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,青浦徐泾,0,UCP,Scatter_Point,,,31.1663,121.2886,4,国控站,0.051254712699602134,0.04368748784011123,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,静安七一中学,0,UCP,Scatter_Point,,,31.2325,121.4476,4,市控站,0.007728557496695543,0.18590825930116106,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,静安共和新路路边站,3,UCP,Scatter_Point,,,31.280916,121.44731,5,交通站,1.0930096770660693,0.05311922903266397,0.37488417975459754,,,,is_inlier=False
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,静安和田中学,0,UCP,Scatter_Point,,,31.2768,121.451,5,市控站,0.06040559404950574,0.13165691598939078,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,静安延安西路路边站,4,UCP,Scatter_Point,,,31.222778,121.43988,1,交通站,0.050524355072136706,0.002998802498222486,0.37488417975459754,,,,is_inlier=True
b,emission_scatter_point,Emission vs Land Use/UCP association scatter point.,静安监测站,0,UCP,Scatter_Point,,,31.2261,121.425,2,国控站,0.08424195315065419,0.07238334842632577,0.37488417975459754,,,,is_inlier=True
c,cluster_fingerprint_bar,Cluster response fingerprint values.,人民广场,2,Emission,Delta_R2,0.20225361320997248,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,卢湾师专附小,0,Emission,Delta_R2,-0.045970784346515914,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定南翔,0,Emission,Delta_R2,0.03971417692968804,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定天华学院,1,Emission,Delta_R2,0.03377043084222475,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定方泰,0,Emission,Delta_R2,0.05778614635502033,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定监测站,0,Emission,Delta_R2,0.012260007419850227,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤南桥,1,Emission,Delta_R2,-0.12263639392199821,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤南桥新城,1,Emission,Delta_R2,-0.29585276643329084,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤海湾,0,Emission,Delta_R2,0.11360558263315479,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山庙行,0,Emission,Delta_R2,0.007362474061833546,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山杨行,0,Emission,Delta_R2,-0.13248811205464972,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山罗店,0,Emission,Delta_R2,-0.042462973998201425,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,崇明现代农业园区,1,Emission,Delta_R2,-0.1610183759771005,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐家汇,0,Emission,Delta_R2,0.042625763413082995,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐汇上师大,0,Emission,Delta_R2,0.022027376250205455,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐汇华泾,0,Emission,Delta_R2,0.24627192094186343,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,普陀桃浦,0,Emission,Delta_R2,0.04900234291460115,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,普陀监测站,0,Emission,Delta_R2,0.057653619376205945,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦四漂,0,Emission,Delta_R2,0.025594805956816735,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦新江湾城,0,Emission,Delta_R2,-0.001970010993894711,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦监测站,0,Emission,Delta_R2,0.13836477766588295,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,松江图书馆,0,Emission,Delta_R2,0.018998888523043322,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,松江岳阳,0,Emission,Delta_R2,-0.02908316107538189,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东东方路路边站,0,Emission,Delta_R2,-0.06633661763614995,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东周浦,1,Emission,Delta_R2,-0.04339841590212645,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东川沙,0,Emission,Delta_R2,-0.16375676677344775,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东张江,0,Emission,Delta_R2,0.011377094414895206,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东惠南,1,Emission,Delta_R2,-0.07896764330034367,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东监测站,0,Emission,Delta_R2,-0.2591113743216053,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,虹口凉城,0,Emission,Delta_R2,0.08293819168291872,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,虹口嘉兴,0,Emission,Delta_R2,0.3397602106835179,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,金山廊下,0,Emission,Delta_R2,0.08814256481896532,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,金山朱泾,0,Emission,Delta_R2,-0.0019195042564009723,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,金山枫泾,1,Emission,Delta_R2,-0.19224065148489755,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,长宁仙霞,0,Emission,Delta_R2,0.0003550089324172445,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,长宁华阳,0,Emission,Delta_R2,0.01996753504993576,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,长宁程桥,0,Emission,Delta_R2,0.05598034778811056,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,闵行江川,0,Emission,Delta_R2,-0.04233723970122649,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,闵行浦江,0,Emission,Delta_R2,0.015213752418987592,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,闵行莘庄,0,Emission,Delta_R2,-0.12539360130444333,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,青浦夏阳,0,Emission,Delta_R2,-0.011177332231590675,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,青浦徐泾,0,Emission,Delta_R2,0.051254712699602134,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,青浦朱家角,0,Emission,Delta_R2,0.0002743475902637904,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安七一中学,0,Emission,Delta_R2,0.007728557496695543,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安共和新路路边站,3,Emission,Delta_R2,1.0930096770660693,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安和田中学,0,Emission,Delta_R2,0.06040559404950574,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安市北高新,1,Emission,Delta_R2,0.24662130408753247,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安延安西路路边站,4,Emission,Delta_R2,0.050524355072136706,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安监测站,0,Emission,Delta_R2,0.08424195315065419,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,黄浦瑞金,0,Emission,Delta_R2,0.06067229161830401,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,人民广场,2,Landuse,Delta_R2,-0.6130692742279803,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,卢湾师专附小,0,Landuse,Delta_R2,-0.18765448082703573,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定南翔,0,Landuse,Delta_R2,-0.00564667956187026,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定天华学院,1,Landuse,Delta_R2,-0.11309853167418615,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定方泰,0,Landuse,Delta_R2,-0.034802230433849196,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定监测站,0,Landuse,Delta_R2,-0.10193615766961206,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤南桥,1,Landuse,Delta_R2,-0.18119125069588593,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤南桥新城,1,Landuse,Delta_R2,-0.1411097258574463,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤海湾,0,Landuse,Delta_R2,-0.6363377334618481,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山庙行,0,Landuse,Delta_R2,-0.05059807782255499,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山杨行,0,Landuse,Delta_R2,0.006362882431170225,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山罗店,0,Landuse,Delta_R2,-0.1915829614198532,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,崇明现代农业园区,1,Landuse,Delta_R2,-0.36204299759896075,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐家汇,0,Landuse,Delta_R2,-0.07113363140427698,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐汇上师大,0,Landuse,Delta_R2,-0.06637577083792001,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐汇华泾,0,Landuse,Delta_R2,0.13208692546651465,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,普陀桃浦,0,Landuse,Delta_R2,-0.0888154446393461,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,普陀监测站,0,Landuse,Delta_R2,-0.03922286642369355,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦四漂,0,Landuse,Delta_R2,-0.2182963955281575,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦新江湾城,0,Landuse,Delta_R2,0.003931757971102012,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦监测站,0,Landuse,Delta_R2,-0.008575643278906031,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,松江图书馆,0,Landuse,Delta_R2,-0.16862556129087447,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,松江岳阳,0,Landuse,Delta_R2,-0.0356034454990215,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东东方路路边站,0,Landuse,Delta_R2,-0.008103125923135335,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东周浦,1,Landuse,Delta_R2,-0.11905227770555693,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东川沙,0,Landuse,Delta_R2,-0.10638144751381806,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东张江,0,Landuse,Delta_R2,-0.06880641440345303,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东惠南,1,Landuse,Delta_R2,-0.23373152219842153,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东监测站,0,Landuse,Delta_R2,-0.06997892448334675,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,虹口凉城,0,Landuse,Delta_R2,-0.04388051499515755,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,虹口嘉兴,0,Landuse,Delta_R2,0.36211654257716097,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,金山廊下,0,Landuse,Delta_R2,0.08306358623794974,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,金山朱泾,0,Landuse,Delta_R2,-0.0629563240175145,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,金山枫泾,1,Landuse,Delta_R2,-0.4133227636791375,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,长宁仙霞,0,Landuse,Delta_R2,-0.00041648169218377884,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,长宁华阳,0,Landuse,Delta_R2,-0.017654099009463464,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,长宁程桥,0,Landuse,Delta_R2,-0.21281687494599577,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,闵行江川,0,Landuse,Delta_R2,-0.015180891495886195,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,闵行浦江,0,Landuse,Delta_R2,0.011398471856683079,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,闵行莘庄,0,Landuse,Delta_R2,-0.01844635372387049,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,青浦夏阳,0,Landuse,Delta_R2,-0.06113993567882514,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,青浦徐泾,0,Landuse,Delta_R2,0.01810116997456357,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,青浦朱家角,0,Landuse,Delta_R2,-0.03730030086587155,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安七一中学,0,Landuse,Delta_R2,-0.05819025359462193,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安共和新路路边站,3,Landuse,Delta_R2,-0.16659967837572875,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安和田中学,0,Landuse,Delta_R2,0.06521774579470796,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安市北高新,1,Landuse,Delta_R2,-0.06890715466149644,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安延安西路路边站,4,Landuse,Delta_R2,0.050075512938273725,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,静安监测站,0,Landuse,Delta_R2,0.07069016284232144,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,黄浦瑞金,0,Landuse,Delta_R2,-0.13035101356313783,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,人民广场,2,POI,Delta_R2,0.20717762745286417,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,卢湾师专附小,0,POI,Delta_R2,-0.0816856488533435,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定南翔,0,POI,Delta_R2,-0.06629518018844693,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定天华学院,1,POI,Delta_R2,-0.2680578385919604,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定方泰,0,POI,Delta_R2,0.11717491363151186,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,嘉定监测站,0,POI,Delta_R2,-0.06203857297388482,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤南桥,1,POI,Delta_R2,-0.022323914861606786,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤南桥新城,1,POI,Delta_R2,-0.009628964979106813,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,奉贤海湾,0,POI,Delta_R2,0.10994536127076493,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山庙行,0,POI,Delta_R2,0.0006246364920642344,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山杨行,0,POI,Delta_R2,0.022529716708521774,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,宝山罗店,0,POI,Delta_R2,-0.08753947404384677,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,崇明现代农业园区,1,POI,Delta_R2,0.032944556679722514,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐家汇,0,POI,Delta_R2,0.024526398112808323,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐汇上师大,0,POI,Delta_R2,0.005553234963455278,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,徐汇华泾,0,POI,Delta_R2,0.04248529614068869,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,普陀桃浦,0,POI,Delta_R2,0.006672866693141932,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,普陀监测站,0,POI,Delta_R2,0.02429315017354894,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦四漂,0,POI,Delta_R2,-0.015329550937539516,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦新江湾城,0,POI,Delta_R2,0.032903278073819986,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,杨浦监测站,0,POI,Delta_R2,-0.028645514259587834,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,松江图书馆,0,POI,Delta_R2,-0.0021466978973881945,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,松江岳阳,0,POI,Delta_R2,0.003857666733724008,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东东方路路边站,0,POI,Delta_R2,-0.04371992419109327,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东周浦,1,POI,Delta_R2,-0.039566838895190415,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东川沙,0,POI,Delta_R2,-0.021738677989438737,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东张江,0,POI,Delta_R2,0.019576104111307724,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东惠南,1,POI,Delta_R2,-0.07448659389850065,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,浦东监测站,0,POI,Delta_R2,-0.002710182998757249,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,虹口凉城,0,POI,Delta_R2,-0.036106696645254566,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,虹口嘉兴,0,POI,Delta_R2,0.24589533294489196,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,金山廊下,0,POI,Delta_R2,0.14447281207360874,,,,,,,,,,,,
c,cluster_fingerprint_bar,Cluster response fingerprint values.,金山朱泾,0,POI,Delta_R2,-0.012999800326393252,,,,,,,,,,,,
